barcode,reference,mapping_count
NB01,unmapped,667
NB01,prima1,58
NB01,hsp4,207
NB01,kcns1,238
NB01,gm7,44
NB02,unmapped,309
NB02,prima1,43
NB02,hsp4,67
NB02,kcns1,106
NB02,gm7,23
NB03,unmapped,214
NB03,prima1,27
NB03,hsp4,51
NB03,kcns1,85
NB03,gm7,8
NB04,unmapped,245
NB04,prima1,56
NB04,hsp4,63
NB04,kcns1,107
NB04,gm7,28
NB05,unmapped,402
NB05,prima1,35
NB05,hsp4,95
NB05,kcns1,182
NB05,gm7,23
NB06,unmapped,855
NB06,prima1,95
NB06,hsp4,268
NB06,kcns1,478
NB06,gm7,44
NB07,unmapped,171
NB07,prima1,16
NB07,hsp4,44
NB07,kcns1,84
NB07,gm7,7
NB08,unmapped,425
NB08,prima1,59
NB08,hsp4,113
NB08,kcns1,176
NB08,gm7,37
NB09,unmapped,367
NB09,prima1,64
NB09,hsp4,101
NB09,kcns1,187
NB09,gm7,27
NB10,unmapped,1923
NB10,prima1,438
NB10,hsp4,360
NB10,kcns1,858
NB10,gm7,95
NB11,unmapped,443
NB11,prima1,115
NB11,hsp4,74
NB11,kcns1,138
NB11,gm7,39
NB12,unmapped,348
NB12,prima1,55
NB12,hsp4,88
NB12,kcns1,167
NB12,gm7,52
NB13,unmapped,332
NB13,prima1,48
NB13,hsp4,103
NB13,kcns1,120
NB13,gm7,31
NB14,unmapped,103
NB14,prima1,32
NB14,hsp4,33
NB14,kcns1,32
NB14,gm7,4
NB15,unmapped,292
NB15,prima1,209
NB15,hsp4,64
NB15,kcns1,122
NB15,gm7,9
NB16,unmapped,99
NB16,prima1,20
NB16,hsp4,28
NB16,kcns1,37
NB16,gm7,12
NB17,unmapped,510
NB17,prima1,128
NB17,hsp4,108
NB17,kcns1,169
NB17,gm7,49
NB18,unmapped,1
NB18,prima1,0
NB18,hsp4,0
NB18,kcns1,0
NB18,gm7,0
NB19,unmapped,2103
NB19,prima1,465
NB19,hsp4,586
NB19,kcns1,811
NB19,gm7,298
NB20,unmapped,377
NB20,prima1,119
NB20,hsp4,114
NB20,kcns1,131
NB20,gm7,50
NB21,unmapped,400
NB21,prima1,95
NB21,hsp4,151
NB21,kcns1,173
NB21,gm7,48
NB22,unmapped,247
NB22,prima1,13
NB22,hsp4,86
NB22,kcns1,114
NB22,gm7,17
NB23,unmapped,1818
NB23,prima1,1019
NB23,hsp4,352
NB23,kcns1,670
NB23,gm7,280
NB24,unmapped,1402
NB24,prima1,950
NB24,hsp4,242
NB24,kcns1,444
NB24,gm7,199
