barcode,reference,mapping_count
NB01,unmapped,482
NB01,prima1,64
NB01,hsp4,289
NB01,kcns1,319
NB01,gm7,60
NB02,unmapped,223
NB02,prima1,45
NB02,hsp4,108
NB02,kcns1,148
NB02,gm7,24
NB03,unmapped,153
NB03,prima1,31
NB03,hsp4,74
NB03,kcns1,114
NB03,gm7,13
NB04,unmapped,185
NB04,prima1,62
NB04,hsp4,82
NB04,kcns1,140
NB04,gm7,30
NB05,unmapped,264
NB05,prima1,37
NB05,hsp4,152
NB05,kcns1,256
NB05,gm7,28
NB06,unmapped,571
NB06,prima1,101
NB06,hsp4,391
NB06,kcns1,624
NB06,gm7,53
NB07,unmapped,120
NB07,prima1,18
NB07,hsp4,66
NB07,kcns1,107
NB07,gm7,11
NB08,unmapped,308
NB08,prima1,64
NB08,hsp4,162
NB08,kcns1,239
NB08,gm7,37
NB09,unmapped,262
NB09,prima1,66
NB09,hsp4,139
NB09,kcns1,251
NB09,gm7,28
NB10,unmapped,1397
NB10,prima1,472
NB10,hsp4,553
NB10,kcns1,1134
NB10,gm7,118
NB11,unmapped,345
NB11,prima1,128
NB11,hsp4,103
NB11,kcns1,191
NB11,gm7,42
NB12,unmapped,256
NB12,prima1,59
NB12,hsp4,131
NB12,kcns1,205
NB12,gm7,59
NB13,unmapped,251
NB13,prima1,53
NB13,hsp4,139
NB13,kcns1,157
NB13,gm7,34
NB14,unmapped,61
NB14,prima1,33
NB14,hsp4,50
NB14,kcns1,54
NB14,gm7,6
NB15,unmapped,199
NB15,prima1,218
NB15,hsp4,89
NB15,kcns1,180
NB15,gm7,10
NB16,unmapped,84
NB16,prima1,20
NB16,hsp4,33
NB16,kcns1,47
NB16,gm7,12
NB17,unmapped,392
NB17,prima1,136
NB17,hsp4,166
NB17,kcns1,210
NB17,gm7,60
NB18,unmapped,1
NB18,prima1,0
NB18,hsp4,0
NB18,kcns1,0
NB18,gm7,0
NB19,unmapped,1580
NB19,prima1,504
NB19,hsp4,773
NB19,kcns1,1064
NB19,gm7,342
NB20,unmapped,295
NB20,prima1,125
NB20,hsp4,150
NB20,kcns1,165
NB20,gm7,56
NB21,unmapped,311
NB21,prima1,103
NB21,hsp4,196
NB21,kcns1,206
NB21,gm7,51
NB22,unmapped,151
NB22,prima1,13
NB22,hsp4,126
NB22,kcns1,167
NB22,gm7,20
NB23,unmapped,1422
NB23,prima1,1076
NB23,hsp4,496
NB23,kcns1,822
NB23,gm7,323
NB24,unmapped,1088
NB24,prima1,1026
NB24,hsp4,329
NB24,kcns1,544
NB24,gm7,250
