barcode,reference,mapping_count
NB01,unmapped,6
NB01,prima1,89
NB01,hsp4,507
NB01,kcns1,465
NB01,gm7,147
NB02,unmapped,5
NB02,prima1,63
NB02,hsp4,196
NB02,kcns1,229
NB02,gm7,55
NB03,unmapped,0
NB03,prima1,43
NB03,hsp4,142
NB03,kcns1,157
NB03,gm7,43
NB04,unmapped,3
NB04,prima1,81
NB04,hsp4,147
NB04,kcns1,209
NB04,gm7,59
NB05,unmapped,0
NB05,prima1,53
NB05,hsp4,257
NB05,kcns1,371
NB05,gm7,56
NB06,unmapped,3
NB06,prima1,142
NB06,hsp4,623
NB06,kcns1,863
NB06,gm7,109
NB07,unmapped,0
NB07,prima1,26
NB07,hsp4,106
NB07,kcns1,161
NB07,gm7,29
NB08,unmapped,0
NB08,prima1,103
NB08,hsp4,295
NB08,kcns1,340
NB08,gm7,72
NB09,unmapped,1
NB09,prima1,82
NB09,hsp4,246
NB09,kcns1,362
NB09,gm7,55
NB10,unmapped,16
NB10,prima1,654
NB10,hsp4,965
NB10,kcns1,1809
NB10,gm7,230
NB11,unmapped,4
NB11,prima1,202
NB11,hsp4,195
NB11,kcns1,306
NB11,gm7,102
NB12,unmapped,2
NB12,prima1,80
NB12,hsp4,227
NB12,kcns1,295
NB12,gm7,106
NB13,unmapped,4
NB13,prima1,69
NB13,hsp4,248
NB13,kcns1,244
NB13,gm7,69
NB14,unmapped,2
NB14,prima1,40
NB14,hsp4,79
NB14,kcns1,75
NB14,gm7,8
NB15,unmapped,2
NB15,prima1,277
NB15,hsp4,134
NB15,kcns1,259
NB15,gm7,24
NB16,unmapped,0
NB16,prima1,28
NB16,hsp4,64
NB16,kcns1,72
NB16,gm7,32
NB17,unmapped,6
NB17,prima1,191
NB17,hsp4,311
NB17,kcns1,330
NB17,gm7,126
NB18,unmapped,0
NB18,prima1,0
NB18,hsp4,1
NB18,kcns1,0
NB18,gm7,0
NB19,unmapped,22
NB19,prima1,679
NB19,hsp4,1372
NB19,kcns1,1514
NB19,gm7,676
NB20,unmapped,1
NB20,prima1,184
NB20,hsp4,239
NB20,kcns1,252
NB20,gm7,115
NB21,unmapped,5
NB21,prima1,130
NB21,hsp4,324
NB21,kcns1,313
NB21,gm7,95
NB22,unmapped,0
NB22,prima1,22
NB22,hsp4,188
NB22,kcns1,231
NB22,gm7,36
NB23,unmapped,15
NB23,prima1,1406
NB23,hsp4,867
NB23,kcns1,1229
NB23,gm7,622
NB24,unmapped,5
NB24,prima1,1354
NB24,hsp4,561
NB24,kcns1,850
NB24,gm7,467
