gene,mod_id,position(1-based)
PRIMA1,mod_1,54
PRIMA1,mod_2,127
PRIMA1,mod_3,141
HSP4,mod_4,70
HSP4,mod_5,100
HSP4,mod_6,105
HSP4,mod_7,120
HSP4,mod_8,126
HSP4,mod_9,131
HSP4,mod_10,144
KCNS1,mod_11,30
KCNS1,mod_12,52
KCNS1,mod_13,54
KCNS1,mod_14,57
KCNS1,mod_15,65
KCNS1,mod_16,80
KCNS1,mod_17,100
KCNS1,mod_18,103
KCNS1,mod_19,111
KCNS1,mod_20,116
KCNS1,mod_21,119
KCNS1,mod_22,121
KCNS1,mod_23,125
KCNS1,mod_24,134
KCNS1,mod_25,139
KCNS1,mod_26,144
KCNS1,mod_27,146
KCNS1,mod_28,162
KCNS1,mod_29,165
KCNS1,mod_30,168
KCNS1,mod_31,178
GM7,mod_32,64
GM7,mod_33,67
GM7,mod_34,76
GM7,mod_35,79
GM7,mod_36,103
GM7,mod_37,112
GM7,mod_38,133
GM7,mod_39,144
GM7,mod_40,148
GM7,mod_41,159
